#TYPE Selected.System.IO.FileInfo
"FullName","CreationTime","LastWriteTime","Length","Owner"
"C:\Riot Games\-","2/17/2022 3:34:36 PM","2/17/2022 3:34:38 PM","178411","BUILTIN\Administrators"
"C:\Riot Games\League of Legends","3/5/2020 1:05:07 AM","2/16/2022 10:38:09 PM",,"DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\api-ms-win-core-console-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11744","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-datetime-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11232","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-debug-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11224","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-errorhandling-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11232","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-file-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","14816","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-file-l1-2-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11232","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-file-l2-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11232","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-handle-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11232","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-heap-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11744","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-interlocked-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11744","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-libraryloader-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","12256","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-localization-l1-2-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","13792","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-memory-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11736","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-namedpipe-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11232","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-processenvironment-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","12256","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-processthreads-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","13792","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-processthreads-l1-1-1.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11744","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-profile-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","10720","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-rtlsupport-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11232","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-string-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11232","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-synch-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","13280","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-synch-l1-2-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11744","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-sysinfo-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","12256","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-timezone-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11736","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-core-util-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11224","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-conio-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","12256","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-convert-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","15328","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-environment-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11744","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-filesystem-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","13280","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-heap-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","12256","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-locale-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","11744","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-math-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","21984","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-multibyte-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","19424","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-private-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","66016","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-process-l1-1-0.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","12256","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-runtime-l1-1-0.dll","9/24/2019 7:42:17 PM","7/22/2021 11:13:26 PM","15840","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-stdio-l1-1-0.dll","9/24/2019 7:42:17 PM","7/22/2021 11:13:26 PM","17376","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-string-l1-1-0.dll","9/24/2019 7:42:17 PM","7/22/2021 11:13:26 PM","17888","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-time-l1-1-0.dll","9/24/2019 7:42:17 PM","7/22/2021 11:13:26 PM","13792","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\api-ms-win-crt-utility-l1-1-0.dll","9/24/2019 7:42:17 PM","7/22/2021 11:13:26 PM","11744","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\chrome_100_percent.pak","9/2/2021 3:58:51 PM","9/2/2021 3:58:52 PM","786466","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\chrome_200_percent.pak","9/2/2021 3:58:52 PM","9/2/2021 3:58:52 PM","1358063","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\chrome_elf.dll","12/8/2019 9:19:55 PM","2/16/2022 6:27:46 PM","954384","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\concrt140.dll","9/24/2019 7:42:16 PM","7/22/2021 11:13:26 PM","243576","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Config","9/1/2020 7:31:42 PM","2/16/2022 10:37:46 PM",,"DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\game.cfg","9/1/2020 7:31:53 PM","2/16/2022 10:35:03 PM","3505","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\Global","9/1/2020 7:31:48 PM","9/1/2020 7:31:48 PM",,"DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\Global\Recommended","9/1/2020 7:31:48 PM","11/21/2021 7:04:27 PM",,"DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\Global\Recommended\RIOT_ItemSet_1.json","9/1/2020 7:31:48 PM","11/21/2021 7:04:27 PM","226","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\input.ini","4/5/2021 9:00:23 PM","5/14/2021 4:12:10 PM","4967","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\ItemSets.json","9/1/2020 7:31:48 PM","9/1/2020 7:31:48 PM","289","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\LCUAccountPreferences.yaml","9/1/2020 7:31:48 PM","2/16/2022 10:12:50 PM","14294","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\LCULocalPreferences.yaml","9/1/2020 7:31:48 PM","2/16/2022 10:12:50 PM","3534","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\LeagueClientSettings.yaml","9/1/2020 7:31:42 PM","2/16/2022 10:37:46 PM","1348","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\PerksPreferences.yaml","9/1/2020 7:31:48 PM","2/16/2022 10:12:09 PM","9019","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Config\PersistedSettings.json","9/1/2020 7:31:48 PM","2/16/2022 10:38:09 PM","54905","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Cookies","3/5/2020 1:08:14 AM","3/5/2020 1:12:52 AM",,"DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Cookies\Cookies","9/24/2019 7:42:27 PM","7/15/2021 11:40:11 PM","9216","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Cookies\Cookies-journal","9/24/2019 7:42:27 PM","7/15/2021 11:40:11 PM","0","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\d3dcompiler_47.dll","9/24/2019 7:42:17 PM","9/2/2021 3:58:52 PM","3657992","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\DATA","3/5/2020 1:08:14 AM","3/5/2020 1:08:14 AM",,"DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\DATA\CFG","3/5/2020 1:08:14 AM","3/5/2020 1:08:14 AM",,"DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\DATA\CFG\defaults","3/5/2020 1:08:14 AM","3/5/2020 1:12:52 AM",,"DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\DATA\CFG\defaults\SettingsToPersist.json","9/24/2019 7:45:21 PM","2/16/2022 6:28:00 PM","3550","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\debug.log","9/24/2019 7:42:26 PM","2/16/2022 10:37:59 PM","29420810","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\devtools_resources.pak","9/24/2019 7:42:17 PM","9/2/2021 3:58:52 PM","2477244","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\ffmpeg.dll","9/24/2019 7:42:17 PM","2/16/2022 6:27:46 PM","1646096","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game","9/24/2019 7:45:26 PM","9/2/2021 3:59:14 PM",,"BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game.db","9/24/2019 7:42:28 PM","2/16/2022 6:28:43 PM","17969152","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game.manifest","9/24/2019 7:45:25 PM","2/16/2022 6:28:11 PM","14595262","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\cg.dll","12/8/2019 9:26:54 PM","12/8/2019 9:26:54 PM","8531264","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\code-metadata.json","12/8/2019 9:26:54 PM","2/16/2022 6:28:42 PM","68","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\content-metadata.json","12/8/2019 9:26:54 PM","2/16/2022 6:28:42 PM","72","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\D3DCompiler_43.dll","9/24/2019 7:45:27 PM","9/24/2019 7:45:27 PM","2106216","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\D3DCompiler_47.dll","8/5/2020 7:03:07 PM","11/25/2020 7:12:13 PM","3550208","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\DATA","9/24/2019 7:45:27 PM","9/24/2019 7:45:27 PM",,"BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL","9/24/2019 7:45:27 PM","3/3/2021 6:48:44 PM",,"BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Bootstrap.windows.wad.client","3/1/2021 6:10:54 PM","2/16/2022 6:28:14 PM","42210753","DESKTOP-QEVLIJL\akamb"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions","9/24/2019 7:45:28 PM","2/16/2022 6:28:23 PM",,"BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Aatrox.en_US.wad.client","9/24/2019 7:45:28 PM","12/13/2021 6:16:52 PM","59480697","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Aatrox.wad.client","9/24/2019 7:45:35 PM","2/16/2022 6:28:14 PM","51842550","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ahri.en_US.wad.client","9/24/2019 7:45:36 PM","12/13/2021 6:16:52 PM","14506120","BUILTIN\Administrators"
"C:\Riot Games\League of Legends\Game\DATA\FINAL\Champions\Ahri.wad.client","9/24/2019 7:45:36 PM","2/16/2022 6:28:14 PM","82335918","BUILTIN\Administrators"
